nohup: ignoring input
experiment: HUVEC pseknc_rf
trainSet len:[X=54800,y=54800]
testSet len:[X=3192,y=3192]
第一次
{'bootstrap': True, 'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'gini', 'max_depth': None, 'max_features': 'auto', 'max_leaf_nodes': None, 'max_samples': None, 'min_impurity_decrease': 0.0, 'min_impurity_split': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'n_estimators': 100, 'n_jobs': 2, 'oob_score': False, 'random_state': None, 'verbose': 0, 'warm_start': False}
Fitting, totalling 34 fits
accuracy: (test=0.966) average_precision: (test=0.580) balanced_accuracy: (test=0.723) f1: (test=0.563) roc_auc: (test=0.899) 2.74min
[fit 46/150] END max_depth=45; total=3192, TP=64, TN=3009, FP=31, FN=88; precision=0.674, recall=0.421
accuracy: (test=0.963) average_precision: (test=0.573) balanced_accuracy: (test=0.705) f1: (test=0.518) roc_auc: (test=0.896) 2.73min
[fit 47/150] END max_depth=46; total=3192, TP=65, TN=3011, FP=29, FN=87; precision=0.691, recall=0.428
accuracy: (test=0.964) average_precision: (test=0.566) balanced_accuracy: (test=0.709) f1: (test=0.528) roc_auc: (test=0.885) 2.76min
[fit 48/150] END max_depth=47; total=3192, TP=66, TN=3011, FP=29, FN=86; precision=0.695, recall=0.434
accuracy: (test=0.964) average_precision: (test=0.579) balanced_accuracy: (test=0.712) f1: (test=0.534) roc_auc: (test=0.896) 2.72min
[fit 49/150] END max_depth=48; total=3192, TP=68, TN=3011, FP=29, FN=84; precision=0.701, recall=0.447
accuracy: (test=0.965) average_precision: (test=0.572) balanced_accuracy: (test=0.719) f1: (test=0.546) roc_auc: (test=0.896) 2.72min
[fit 50/150] END max_depth=49; total=3192, TP=64, TN=3013, FP=27, FN=88; precision=0.703, recall=0.421
accuracy: (test=0.964) average_precision: (test=0.566) balanced_accuracy: (test=0.706) f1: (test=0.527) roc_auc: (test=0.890) 2.73min
[fit 51/150] END max_depth=50; total=3192, TP=68, TN=3009, FP=31, FN=84; precision=0.687, recall=0.447
accuracy: (test=0.964) average_precision: (test=0.577) balanced_accuracy: (test=0.719) f1: (test=0.542) roc_auc: (test=0.897) 2.80min
[fit 52/150] END max_depth=51; total=3192, TP=67, TN=3015, FP=25, FN=85; precision=0.728, recall=0.441
accuracy: (test=0.966) average_precision: (test=0.579) balanced_accuracy: (test=0.716) f1: (test=0.549) roc_auc: (test=0.897) 2.80min
[fit 53/150] END max_depth=52; total=3192, TP=67, TN=3012, FP=28, FN=85; precision=0.705, recall=0.441
accuracy: (test=0.965) average_precision: (test=0.566) balanced_accuracy: (test=0.716) f1: (test=0.543) roc_auc: (test=0.888) 2.75min
[fit 54/150] END max_depth=53; total=3192, TP=63, TN=3011, FP=29, FN=89; precision=0.685, recall=0.414
accuracy: (test=0.963) average_precision: (test=0.559) balanced_accuracy: (test=0.702) f1: (test=0.516) roc_auc: (test=0.887) 2.74min
[fit 55/150] END max_depth=54; total=3192, TP=67, TN=3012, FP=28, FN=85; precision=0.705, recall=0.441
accuracy: (test=0.965) average_precision: (test=0.564) balanced_accuracy: (test=0.716) f1: (test=0.543) roc_auc: (test=0.887) 2.75min
[fit 56/150] END max_depth=55; total=3192, TP=68, TN=3014, FP=26, FN=84; precision=0.723, recall=0.447
accuracy: (test=0.966) average_precision: (test=0.570) balanced_accuracy: (test=0.719) f1: (test=0.553) roc_auc: (test=0.891) 2.73min
[fit 57/150] END max_depth=56; total=3192, TP=64, TN=3012, FP=28, FN=88; precision=0.696, recall=0.421
accuracy: (test=0.964) average_precision: (test=0.551) balanced_accuracy: (test=0.706) f1: (test=0.525) roc_auc: (test=0.887) 2.78min
[fit 58/150] END max_depth=57; total=3192, TP=65, TN=3012, FP=28, FN=87; precision=0.699, recall=0.428
accuracy: (test=0.964) average_precision: (test=0.578) balanced_accuracy: (test=0.709) f1: (test=0.531) roc_auc: (test=0.900) 2.79min
[fit 59/150] END max_depth=58; total=3192, TP=63, TN=3010, FP=30, FN=89; precision=0.677, recall=0.414
accuracy: (test=0.963) average_precision: (test=0.577) balanced_accuracy: (test=0.702) f1: (test=0.514) roc_auc: (test=0.902) 2.70min
