nohup: ignoring input
experiment: IMR90 pseknc_rf
trainSet len:[X=45080,y=45080]
testSet len:[X=2625,y=2625]
第一次
{'bootstrap': True, 'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'gini', 'max_depth': None, 'max_features': 'auto', 'max_leaf_nodes': None, 'max_samples': None, 'min_impurity_decrease': 0.0, 'min_impurity_split': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'n_estimators': 100, 'n_jobs': 2, 'oob_score': False, 'random_state': None, 'verbose': 0, 'warm_start': False}
Fitting, totalling 34 fits
accuracy: (test=0.971) average_precision: (test=0.693) balanced_accuracy: (test=0.757) f1: (test=0.634) roc_auc: (test=0.896) 2.62min
[fit 54/150] END max_depth=53; total=2625, TP=69, TN=2484, FP=16, FN=56; precision=0.812, recall=0.552
accuracy: (test=0.973) average_precision: (test=0.692) balanced_accuracy: (test=0.773) f1: (test=0.657) roc_auc: (test=0.914) 2.60min
[fit 55/150] END max_depth=54; total=2625, TP=71, TN=2484, FP=16, FN=54; precision=0.816, recall=0.568
accuracy: (test=0.973) average_precision: (test=0.687) balanced_accuracy: (test=0.781) f1: (test=0.670) roc_auc: (test=0.915) 2.61min
[fit 56/150] END max_depth=55; total=2625, TP=67, TN=2485, FP=15, FN=58; precision=0.817, recall=0.536
accuracy: (test=0.972) average_precision: (test=0.689) balanced_accuracy: (test=0.765) f1: (test=0.647) roc_auc: (test=0.912) 2.62min
[fit 57/150] END max_depth=56; total=2625, TP=69, TN=2483, FP=17, FN=56; precision=0.802, recall=0.552
accuracy: (test=0.972) average_precision: (test=0.692) balanced_accuracy: (test=0.773) f1: (test=0.654) roc_auc: (test=0.911) 2.68min
[fit 58/150] END max_depth=57; total=2625, TP=69, TN=2484, FP=16, FN=56; precision=0.812, recall=0.552
accuracy: (test=0.973) average_precision: (test=0.688) balanced_accuracy: (test=0.773) f1: (test=0.657) roc_auc: (test=0.905) 2.55min
[fit 59/150] END max_depth=58; total=2625, TP=68, TN=2485, FP=15, FN=57; precision=0.819, recall=0.544
accuracy: (test=0.973) average_precision: (test=0.705) balanced_accuracy: (test=0.769) f1: (test=0.654) roc_auc: (test=0.918) 2.62min
[fit 60/150] END max_depth=59; total=2625, TP=69, TN=2483, FP=17, FN=56; precision=0.802, recall=0.552
accuracy: (test=0.972) average_precision: (test=0.700) balanced_accuracy: (test=0.773) f1: (test=0.654) roc_auc: (test=0.913) 2.62min
[fit 61/150] END max_depth=60; total=2625, TP=66, TN=2485, FP=15, FN=59; precision=0.815, recall=0.528
accuracy: (test=0.972) average_precision: (test=0.690) balanced_accuracy: (test=0.761) f1: (test=0.641) roc_auc: (test=0.914) 2.69min
[fit 62/150] END max_depth=61; total=2625, TP=68, TN=2483, FP=17, FN=57; precision=0.800, recall=0.544
