nohup: ignoring input
experiment: HUVEC cksnap_rf
trainSet len:[X=54800,y=54800]
testSet len:[X=3192,y=3192]
第一次
{'bootstrap': True, 'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'gini', 'max_depth': None, 'max_features': 'auto', 'max_leaf_nodes': None, 'max_samples': None, 'min_impurity_decrease': 0.0, 'min_impurity_split': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'n_estimators': 100, 'n_jobs': 3, 'oob_score': False, 'random_state': None, 'verbose': 0, 'warm_start': False}
Fitting, totalling 34 fits
accuracy: (test=0.959) average_precision: (test=0.505) balanced_accuracy: (test=0.703) f1: (test=0.492) roc_auc: (test=0.846) 55.02s
[fit 49/150] END max_depth=48; total=3192, TP=68, TN=2999, FP=41, FN=84; precision=0.624, recall=0.447
accuracy: (test=0.961) average_precision: (test=0.509) balanced_accuracy: (test=0.717) f1: (test=0.521) roc_auc: (test=0.854) 58.44s
[fit 50/150] END max_depth=49; total=3192, TP=65, TN=3001, FP=39, FN=87; precision=0.625, recall=0.428
accuracy: (test=0.961) average_precision: (test=0.513) balanced_accuracy: (test=0.707) f1: (test=0.508) roc_auc: (test=0.850) 55.72s
[fit 51/150] END max_depth=50; total=3192, TP=61, TN=2998, FP=42, FN=91; precision=0.592, recall=0.401
accuracy: (test=0.958) average_precision: (test=0.498) balanced_accuracy: (test=0.694) f1: (test=0.478) roc_auc: (test=0.850) 56.51s
[fit 52/150] END max_depth=51; total=3192, TP=66, TN=2997, FP=43, FN=86; precision=0.606, recall=0.434
accuracy: (test=0.960) average_precision: (test=0.502) balanced_accuracy: (test=0.710) f1: (test=0.506) roc_auc: (test=0.848) 55.96s
[fit 53/150] END max_depth=52; total=3192, TP=65, TN=3002, FP=38, FN=87; precision=0.631, recall=0.428
accuracy: (test=0.961) average_precision: (test=0.510) balanced_accuracy: (test=0.708) f1: (test=0.510) roc_auc: (test=0.844) 57.02s
[fit 54/150] END max_depth=53; total=3192, TP=60, TN=3000, FP=40, FN=92; precision=0.600, recall=0.395
accuracy: (test=0.959) average_precision: (test=0.510) balanced_accuracy: (test=0.691) f1: (test=0.476) roc_auc: (test=0.848) 54.32s
[fit 55/150] END max_depth=54; total=3192, TP=62, TN=2998, FP=42, FN=90; precision=0.596, recall=0.408
accuracy: (test=0.959) average_precision: (test=0.500) balanced_accuracy: (test=0.697) f1: (test=0.484) roc_auc: (test=0.849) 55.23s
[fit 56/150] END max_depth=55; total=3192, TP=66, TN=2995, FP=45, FN=86; precision=0.595, recall=0.434
accuracy: (test=0.959) average_precision: (test=0.499) balanced_accuracy: (test=0.710) f1: (test=0.502) roc_auc: (test=0.849) 55.42s
[fit 57/150] END max_depth=56; total=3192, TP=63, TN=2998, FP=42, FN=89; precision=0.600, recall=0.414
accuracy: (test=0.959) average_precision: (test=0.497) balanced_accuracy: (test=0.700) f1: (test=0.490) roc_auc: (test=0.842) 56.20s
[fit 58/150] END max_depth=57; total=3192, TP=66, TN=2995, FP=45, FN=86; precision=0.595, recall=0.434
accuracy: (test=0.959) average_precision: (test=0.502) balanced_accuracy: (test=0.710) f1: (test=0.502) roc_auc: (test=0.847) 56.49s
[fit 59/150] END max_depth=58; total=3192, TP=64, TN=2995, FP=45, FN=88; precision=0.587, recall=0.421
accuracy: (test=0.958) average_precision: (test=0.503) balanced_accuracy: (test=0.703) f1: (test=0.490) roc_auc: (test=0.846) 55.18s
[fit 60/150] END max_depth=59; total=3192, TP=64, TN=2999, FP=41, FN=88; precision=0.610, recall=0.421
accuracy: (test=0.960) average_precision: (test=0.500) balanced_accuracy: (test=0.704) f1: (test=0.498) roc_auc: (test=0.843) 55.72s
[fit 61/150] END max_depth=60; total=3192, TP=66, TN=2998, FP=42, FN=86; precision=0.611, recall=0.434
accuracy: (test=0.960) average_precision: (test=0.498) balanced_accuracy: (test=0.710) f1: (test=0.508) roc_auc: (test=0.846) 57.12s
[fit 62/150] END max_depth=61; total=3192, TP=66, TN=3000, FP=40, FN=86; precision=0.623, recall=0.434
